route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
08251125-41,20251118,20251118-41-41495,41C - Square One,,1,MDDS3156,413562,1,1,41C
08251125-41,20251118,20251118-41-41394,41C - Centennial College,,0,MDDS3156,413565,1,1,41C
08251125-41,20251118,20251118-41-41473,41A - Square One,,1,MDDS3153,413561,1,1,41A
08251125-41,20251118,20251118-41-41374,41C - Centennial College,,0,MDDS3153,413565,1,1,41C
08251125-27,20251118,20251118-27-27701,27B - Meadowvale GO,,1,MDDS3151,413501,1,1,27B
08251125-27,20251118,20251118-27-27630,27A - Finch Terminal,,0,MDDS3151,413500,1,1,27A
08251125-27,20251118,20251118-27-27451,27A - Milton GO,,1,MDDS3151,413502,1,1,27A
08251125-27,20251118,20251118-27-27400,27B - Finch Terminal,,0,MDDS3151,413499,1,1,27B
08251125-56,20251118,20251118-56-56630,56 - Oakville GO,,1,MDDS3150,413587,1,1,56
08251125-56,20251118,20251118-56-56411,56 - DC Oshawa GO,,0,MDDS3150,413596,1,1,56
08251125-19,20251118,20251118-19-19731,19 - Square One,,1,MDDS3148,413470,1,1,19
08251125-19,20251118,20251118-19-19670,19 - Finch Terminal,,0,MDDS3148,413469,1,1,19
08251125-25,20251118,20251118-25-25510,25 - Square One,,0,MDDS3148,413491,1,1,25
08251125-25,20251118,20251118-25-25391,25 - U of Waterloo,,1,MDDS3148,413496,1,1,25
08251125-27,20251118,20251118-27-27651,27A - Milton GO,,1,MDDS3146,413502,1,1,27A
08251125-27,20251118,20251118-27-27560,27A - Finch Terminal,,0,MDDS3146,413500,1,1,27A
08251125-21,20251118,20251118-21-21425,21A - Milton GO,,1,MDDS3146,413480,1,1,21A
08251125-21,20251118,20251118-21-21370,21C - Union Station,,0,MDDS3146,413475,1,1,21C
08251125-47,20251118,20251118-47-47634,47G - Erin Mills,,0,MDDS3145,413571,1,1,47G
08251125-40,20251118,20251118-40-40501,40 - Hamilton GO,,1,MDDS3145,413560,1,1,40
08251125-21,20251118,20251118-21-21372,21E - Union Station,,0,MDDS3145,413477,1,1,21E
08251125-30,20251118,20251118-30-30650,30 - Hwy. 407 Bus Term,,0,MDDS3138,413510,1,1,30
08251125-17,20251118,20251118-17-17481,17 - U of Waterloo,,0,MDDS3138,413447,1,1,17
08251125-16,20251118,20251118-16-16381,16 - Hamilton GO,,1,MDDS3138,413445,1,1,16
08251125-21,20251118,20251118-21-21314,21A - Union Station,,0,MDDS3138,413472,1,1,21A
08251125-36,20251118,20251118-36-36731,36B - Bramalea Term,,1,MDDS3136,413552,1,1,36B
08251125-40,20251118,20251118-40-40620,40 - Richmond Hill Ctr,,0,MDDS3136,413559,1,1,40
